date,state,district,age_0_5,age_5_17,age_18_greater
01-04-2025,Bihar,Vaishali,270,217,10
01-04-2025,Bihar,West Champaran,2826,3724,159
01-04-2025,Chandigarh,Chandigarh,86,21,10
01-04-2025,Chhattisgarh,Bijapur,397,135,126
01-04-2025,Chhattisgarh,Durg,336,38,10
01-04-2025,Chhattisgarh,Raipur,299,12,11
01-04-2025,Chhattisgarh,Sukma,267,69,45
01-04-2025,Delhi,Central Delhi,80,41,12
01-04-2025,Delhi,East Delhi,676,221,15
01-04-2025,Delhi,North West Delhi,903,349,54
01-04-2025,Delhi,Shahdara,208,98,13
01-04-2025,Delhi,South Delhi,404,137,22
01-04-2025,Delhi,South West Delhi,558,209,58
01-04-2025,Delhi,West Delhi,1249,440,183
01-04-2025,Gujarat,Ahmedabad,77,26,19
01-04-2025,Gujarat,Amreli,174,21,43
01-04-2025,Gujarat,Anand,136,30,75
01-04-2025,Gujarat,Arvalli,144,32,30
01-04-2025,Gujarat,Banaskantha,1685,1358,1001
01-04-2025,Gujarat,Bharuch,138,50,23
01-04-2025,Gujarat,Bhavnagar,567,36,25
01-04-2025,Gujarat,Botad,291,21,20
01-04-2025,Gujarat,Chhotaudepur,242,121,119
01-04-2025,Gujarat,Dahod,855,782,434
01-04-2025,Gujarat,Devbhumi Dwarka,186,44,54
01-04-2025,Gujarat,Gandhinagar,495,138,156
01-04-2025,Gujarat,Gir Somnath,1262,265,179
01-04-2025,Gujarat,Jamnagar,240,43,33
01-04-2025,Gujarat,Junagadh,250,27,12
01-04-2025,Gujarat,Kachchh,587,242,78
01-04-2025,Gujarat,Kheda,425,80,150
01-04-2025,Gujarat,Mahesana,433,55,65
01-04-2025,Gujarat,Mahisagar,110,12,16
01-04-2025,Gujarat,Morbi,818,178,175
01-04-2025,Gujarat,Navsari,133,10,33
01-04-2025,Gujarat,Panchmahals,574,145,183
01-04-2025,Gujarat,Patan,800,173,225
01-04-2025,Gujarat,Porbandar,267,38,44
01-04-2025,Gujarat,Rajkot,1398,338,231
01-04-2025,Gujarat,Sabarkantha,389,197,110
01-04-2025,Gujarat,Surat,2932,976,280
01-04-2025,Gujarat,Surendra Nagar,436,159,91
01-04-2025,Gujarat,Tapi,68,12,13
01-04-2025,Gujarat,The Dangs,85,13,22
01-04-2025,Gujarat,Vadodara,788,216,180
01-04-2025,Gujarat,Valsad,618,186,100
01-04-2025,Haryana,Faridabad,1291,290,25
01-04-2025,Haryana,Gurgaon,494,192,36
01-04-2025,Jammu and Kashmir,Punch,142,59,10
01-04-2025,Jharkhand,Deoghar,371,342,10
01-04-2025,Jharkhand,Dumka,34,32,23
01-04-2025,Jharkhand,East Singhbhum,55,54,11
01-04-2025,Jharkhand,Godda,79,46,11
01-04-2025,Jharkhand,Hazaribagh,169,65,14
01-04-2025,Jharkhand,Lohardaga,187,104,17
01-04-2025,Jharkhand,Pakur,579,372,11
01-04-2025,Jharkhand,Ranchi,552,481,87
01-04-2025,Karnataka,Bengaluru,5774,1026,1047
01-04-2025,Karnataka,Kalaburagi,560,31,17
01-04-2025,Karnataka,Mysuru,456,19,10
01-04-2025,Karnataka,Yadgir,536,89,21
01-04-2025,Madhya Pradesh,Alirajpur,134,105,15
01-04-2025,Madhya Pradesh,Ashok Nagar,342,139,50
01-04-2025,Madhya Pradesh,Barwani,497,313,10
01-04-2025,Madhya Pradesh,Betul,193,20,10
01-04-2025,Madhya Pradesh,Bhind,732,228,91
01-04-2025,Madhya Pradesh,Bhopal,316,47,20
01-04-2025,Madhya Pradesh,Burhanpur,547,155,100
01-04-2025,Madhya Pradesh,Chhatarpur,555,255,40
01-04-2025,Madhya Pradesh,Datia,237,55,10
01-04-2025,Madhya Pradesh,Dewas,427,65,10
01-04-2025,Madhya Pradesh,Dhar,396,116,107
01-04-2025,Madhya Pradesh,Guna,633,120,31
01-04-2025,Madhya Pradesh,Gwalior,855,370,113
01-04-2025,Madhya Pradesh,Indore,830,205,48
01-04-2025,Madhya Pradesh,Jabalpur,125,23,11
01-04-2025,Madhya Pradesh,Jhabua,466,372,48
01-04-2025,Madhya Pradesh,Katni,353,40,20
01-04-2025,Madhya Pradesh,Khandwa,271,133,16
01-04-2025,Madhya Pradesh,Khargone,695,188,52
01-04-2025,Madhya Pradesh,Morena,1027,459,82
01-04-2025,Madhya Pradesh,Panna,107,33,19
01-04-2025,Madhya Pradesh,Raisen,410,83,22
01-04-2025,Madhya Pradesh,Sagar,183,26,12
01-04-2025,Madhya Pradesh,Satna,368,55,14
01-04-2025,Madhya Pradesh,Sheopur,209,163,24
01-04-2025,Madhya Pradesh,Shivpuri,499,259,111
01-04-2025,Madhya Pradesh,Vidisha,670,119,42
01-04-2025,Maharashtra,Ahmadnagar,71,15,10
01-04-2025,Maharashtra,Aurangabad,584,154,53
01-04-2025,Maharashtra,Beed,379,52,19
01-04-2025,Maharashtra,Chandrapur,193,18,10
01-04-2025,Maharashtra,Hingoli,913,95,136
01-04-2025,Maharashtra,Jalgaon,360,53,10
01-04-2025,Maharashtra,Latur,229,42,23
01-04-2025,Maharashtra,Mumbai Suburban,389,109,44
01-04-2025,Maharashtra,Nagpur,468,50,48
01-04-2025,Maharashtra,Nanded,462,89,56
01-04-2025,Maharashtra,Nandurbar,237,35,10
01-04-2025,Maharashtra,Palghar,174,90,16
01-04-2025,Maharashtra,Parbhani,135,10,16
01-04-2025,Maharashtra,Pune,39,11,19
01-04-2025,Maharashtra,Raigad,242,72,21
01-04-2025,Maharashtra,Satara,192,26,18
01-04-2025,Maharashtra,Solapur,548,67,45
01-04-2025,Maharashtra,Thane,2371,913,150
01-04-2025,Manipur,Churachandpur,130,476,26
01-04-2025,Meghalaya,East Garo Hills,491,1124,293
01-04-2025,Meghalaya,East Jaintia Hills,434,765,283
01-04-2025,Meghalaya,East Khasi Hills,1437,4688,1673
01-04-2025,Meghalaya,North Garo Hills,205,1048,242
01-04-2025,Meghalaya,Ri Bhoi,319,1500,514
01-04-2025,Meghalaya,South Garo Hills,231,820,367
01-04-2025,Meghalaya,South West Garo Hills,991,610,174
01-04-2025,Meghalaya,South West Khasi Hills,241,535,212
01-04-2025,Meghalaya,West Garo Hills,1215,1761,727
01-04-2025,Meghalaya,West Jaintia Hills,712,1478,727
01-04-2025,Meghalaya,West Khasi Hills,896,2670,1129
01-04-2025,Mizoram,Champhai,275,76,17
01-04-2025,Nagaland,Chumukedima,16,57,13
01-04-2025,Nagaland,Dimapur,249,454,80
01-04-2025,Nagaland,Kohima,212,385,49
01-04-2025,Nagaland,Longleng,131,226,12
01-04-2025,Nagaland,Noklak,47,65,16
01-04-2025,Nagaland,Peren,201,331,12
01-04-2025,Nagaland,Phek,157,268,22
01-04-2025,Nagaland,Tuensang,173,296,34
01-04-2025,Odisha,Nabarangapur,182,82,12
01-04-2025,Punjab,Amritsar,959,209,54
01-04-2025,Punjab,Gurdaspur,233,36,49
01-04-2025,Punjab,Hoshiarpur,267,35,34
01-04-2025,Punjab,Kapurthala,302,65,305
01-04-2025,Punjab,Ludhiana,1841,734,184
01-04-2025,Punjab,SAS Nagar (Mohali),204,65,11
01-04-2025,Punjab,Sangrur,145,11,10
01-04-2025,Rajasthan,Ajmer,1007,196,36
01-04-2025,Rajasthan,Alwar,784,209,39
01-04-2025,Rajasthan,Baran,379,60,25
01-04-2025,Rajasthan,Bharatpur,240,37,10
01-04-2025,Rajasthan,Bikaner,552,261,16
01-04-2025,Rajasthan,Bundi,337,93,35
01-04-2025,Rajasthan,Churu,316,141,12
01-04-2025,Rajasthan,Dholpur,947,347,50
01-04-2025,Rajasthan,Dungarpur,66,83,13
01-04-2025,Rajasthan,Jaipur,2601,671,162
01-04-2025,Rajasthan,Jalor,1186,672,124
01-04-2025,Rajasthan,Jhalawar,112,49,12
01-04-2025,Rajasthan,Jodhpur,1624,565,87
01-04-2025,Rajasthan,Karauli,348,105,12
01-04-2025,Rajasthan,Kota,37,17,14
01-04-2025,Rajasthan,Nagaur,563,278,32
01-04-2025,Rajasthan,Pali,138,38,11
01-04-2025,Rajasthan,Sikar,251,62,22
01-04-2025,Rajasthan,Sirohi,349,210,67
01-04-2025,Rajasthan,Udaipur,70,47,15
01-04-2025,Sikkim,South Sikkim,15,23,11
01-04-2025,Sikkim,West Sikkim,52,65,10
01-04-2025,Tamil Nadu,Kancheepuram,229,75,24
01-04-2025,Tamil Nadu,Madurai,94,10,11
01-04-2025,Tamil Nadu,Thanjavur,35,10,11
01-04-2025,Telangana,Hyderabad,252,32,22
01-04-2025,Telangana,K.v. Rangareddy,159,25,28
01-04-2025,Telangana,Medchal-malkajgiri,76,25,15
01-04-2025,Tripura,Unakoti,19,16,15
01-04-2025,Tripura,West Tripura,146,65,25
01-04-2025,Uttar Pradesh,Agra,832,568,37
01-04-2025,Uttar Pradesh,Aligarh,1066,643,58
01-04-2025,Uttar Pradesh,Ambedkar Nagar,159,143,10
01-04-2025,Uttar Pradesh,Amroha,434,135,11
01-04-2025,Uttar Pradesh,Azamgarh,231,332,26
01-04-2025,Uttar Pradesh,Baghpat,311,224,18
01-04-2025,Uttar Pradesh,Bahraich,1748,1784,281
01-04-2025,Uttar Pradesh,Balrampur,429,642,32
01-04-2025,Uttar Pradesh,Banda,458,340,43
01-04-2025,Uttar Pradesh,Bara Banki,172,72,10
01-04-2025,Uttar Pradesh,Bareilly,3176,1025,63
01-04-2025,Uttar Pradesh,Basti,140,139,10
01-04-2025,Uttar Pradesh,Budaun,480,267,13
01-04-2025,Uttar Pradesh,Bulandshahr,612,527,49
01-04-2025,Uttar Pradesh,Chandauli,195,192,41
01-04-2025,Uttar Pradesh,Etah,724,354,13
01-04-2025,Uttar Pradesh,Etawah,348,226,16
01-04-2025,Uttar Pradesh,Fatehpur,166,136,10
01-04-2025,Uttar Pradesh,Gautam Buddha Nagar,1192,1186,113
01-04-2025,Uttar Pradesh,Gonda,392,260,50
01-04-2025,Uttar Pradesh,Gorakhpur,378,727,86
01-04-2025,Uttar Pradesh,Jalaun,221,102,26
01-04-2025,Uttar Pradesh,Jaunpur,662,800,64
01-04-2025,Uttar Pradesh,Kanpur Dehat,469,364,75
01-04-2025,Uttar Pradesh,Kanpur Nagar,1405,1363,222
01-04-2025,Uttar Pradesh,Kaushambi,133,109,25
01-04-2025,Uttar Pradesh,Kheri,523,548,31
01-04-2025,Uttar Pradesh,Lucknow,1235,1253,125
01-04-2025,Uttar Pradesh,Maharajganj,873,977,79
01-04-2025,Uttar Pradesh,Mainpuri,348,313,46
01-04-2025,Uttar Pradesh,Meerut,1370,650,33
01-04-2025,Uttar Pradesh,Moradabad,1519,510,15
01-04-2025,Uttar Pradesh,Muzaffarnagar,680,308,27
01-04-2025,Uttar Pradesh,Pilibhit,598,260,20
01-04-2025,Uttar Pradesh,Rampur,894,333,19
01-04-2025,Uttar Pradesh,Saharanpur,1499,533,29
01-04-2025,Uttar Pradesh,Shahjahanpur,1402,852,63
01-04-2025,Uttar Pradesh,Shamli,374,151,12
01-04-2025,Uttar Pradesh,Shrawasti,207,307,11
01-04-2025,Uttar Pradesh,Siddharthnagar,804,1006,68
01-04-2025,Uttar Pradesh,Sitapur,1928,1053,87
01-04-2025,Uttar Pradesh,Sultanpur,262,195,23
01-04-2025,Uttar Pradesh,Unnao,937,547,30
01-04-2025,Uttar Pradesh,Varanasi,527,733,81
01-04-2025,Uttarakhand,Dehradun,510,138,26
01-04-2025,Uttarakhand,Nainital,488,66,48
01-04-2025,West Bengal,Alipurduar,38,63,27
01-04-2025,West Bengal,Cooch Behar,297,156,32
01-04-2025,West Bengal,Darjeeling,383,200,75
01-04-2025,West Bengal,Jalpaiguri,194,62,36
01-04-2025,West Bengal,Jhargram,40,10,12
01-04-2025,West Bengal,Kolkata,21,10,23
01-04-2025,West Bengal,Malda,306,80,10
01-04-2025,West Bengal,Nadia,204,33,11
01-04-2025,West Bengal,North 24 Parganas,126,67,39
01-04-2025,West Bengal,Uttar Dinajpur,1264,333,116
01-05-2025,Assam,Baksa,37,25,20
01-05-2025,Assam,Barpeta,90,83,10
01-05-2025,Assam,Bongaigaon,110,41,15
01-05-2025,Assam,Charaideo,29,11,10
01-05-2025,Assam,Darrang,87,53,308
01-05-2025,Assam,Dhemaji,264,174,153
01-05-2025,Assam,Dibrugarh,140,95,149
01-05-2025,Assam,Goalpara,412,253,116
01-05-2025,Assam,Golaghat,807,826,230
01-05-2025,Assam,Jorhat,17,24,13
01-05-2025,Assam,Kamrup,813,580,264
01-05-2025,Assam,Kamrup Metro,67,42,53
01-05-2025,Assam,Karbi Anglong,446,1537,175
01-05-2025,Assam,Karimganj,286,282,193
01-05-2025,Assam,Kokrajhar,249,237,32
01-05-2025,Assam,Lakhimpur,404,216,127
01-05-2025,Assam,Marigaon,130,219,29
01-05-2025,Assam,Nalbari,134,75,37
01-05-2025,Assam,North Cachar Hills,25,39,13
01-05-2025,Assam,Sibsagar,95,43,87
01-05-2025,Assam,Sonitpur,55,160,38
01-05-2025,Assam,Tinsukia,213,216,171
01-05-2025,Assam,Udalguri,221,162,164
01-05-2025,Assam,West Karbi Anglong,39,216,11
01-05-2025,Bihar,Arwal,43,156,10
01-05-2025,Bihar,Bhagalpur,1500,1363,85
01-05-2025,Bihar,East Champaran,1445,2871,192
01-05-2025,Bihar,Gaya,452,1796,69
01-05-2025,Bihar,Gopalganj,385,495,27
01-05-2025,Bihar,Jamui,245,292,13
01-05-2025,Bihar,Kaimur (Bhabua),273,642,22
01-05-2025,Bihar,Katihar,270,215,10
01-05-2025,Bihar,Madhubani,874,995,102
01-05-2025,Bihar,Muzaffarpur,2161,2046,159
01-05-2025,Bihar,Patna,105,347,22
01-05-2025,Bihar,Saharsa,334,295,13
01-05-2025,Bihar,Sitamarhi,2961,2387,348
01-05-2025,Bihar,Siwan,269,384,12
01-05-2025,Bihar,West Champaran,1934,2875,157
01-05-2025,Chhattisgarh,Baloda Bazar,492,35,17
01-05-2025,Chhattisgarh,Bijapur,275,180,155
01-05-2025,Chhattisgarh,Sukma,178,55,19
01-05-2025,Delhi,Central Delhi,208,105,20
01-05-2025,Delhi,East Delhi,969,342,67
01-05-2025,Delhi,North West Delhi,368,251,25
01-05-2025,Delhi,Shahdara,66,47,20
01-05-2025,Delhi,South Delhi,217,88,28
01-05-2025,Delhi,South West Delhi,448,188,48
01-05-2025,Delhi,West Delhi,1411,493,172
01-05-2025,Gujarat,Ahmedabad,756,347,97
01-05-2025,Gujarat,Anand,111,22,10
01-05-2025,Gujarat,Banaskantha,1146,724,178
01-05-2025,Gujarat,Bharuch,303,69,23
01-05-2025,Gujarat,Chhotaudepur,127,61,28
01-05-2025,Gujarat,Dahod,710,717,653
01-05-2025,Gujarat,Devbhumi Dwarka,167,26,23
01-05-2025,Gujarat,Gandhinagar,251,28,16
01-05-2025,Gujarat,Gir Somnath,181,53,26
01-05-2025,Gujarat,Jamnagar,410,77,67
01-05-2025,Gujarat,Kachchh,59,79,12
01-05-2025,Gujarat,Kheda,89,18,33
01-05-2025,Gujarat,Mahesana,178,26,13
01-05-2025,Gujarat,Morbi,389,88,46
01-05-2025,Gujarat,Navsari,122,21,15
01-05-2025,Gujarat,Panchmahals,311,83,61
01-05-2025,Gujarat,Patan,225,53,25
01-05-2025,Gujarat,Rajkot,1375,312,221
01-05-2025,Gujarat,Sabarkantha,90,41,11
01-05-2025,Gujarat,Surat,1396,542,48
01-05-2025,Gujarat,The Dangs,174,49,38
01-05-2025,Gujarat,Vadodara,158,78,10
01-05-2025,Gujarat,Valsad,277,101,20
01-05-2025,Haryana,Faridabad,1358,311,32
01-05-2025,Haryana,Gurgaon,512,143,13
01-05-2025,Haryana,Mewat,1169,147,11
01-05-2025,Jammu and Kashmir,Baramula,136,39,12
01-05-2025,Jammu and Kashmir,Jammu,55,16,10
01-05-2025,Karnataka,Bangalore Rural,176,35,29
01-05-2025,Karnataka,Bengaluru,2659,1723,869
01-05-2025,Kerala,Kollam,34,12,10
01-05-2025,Kerala,Malappuram,135,121,10
01-05-2025,Kerala,Thiruvananthapuram,32,15,11
01-05-2025,Madhya Pradesh,Alirajpur,66,42,25
01-05-2025,Madhya Pradesh,Ashok Nagar,161,40,19
01-05-2025,Madhya Pradesh,Barwani,2114,1005,55
01-05-2025,Madhya Pradesh,Bhind,670,238,48
01-05-2025,Madhya Pradesh,Burhanpur,724,179,29
01-05-2025,Madhya Pradesh,Chhatarpur,394,313,30
01-05-2025,Madhya Pradesh,Dewas,518,87,17
01-05-2025,Madhya Pradesh,Gwalior,338,108,18
01-05-2025,Madhya Pradesh,Indore,519,111,18
01-05-2025,Madhya Pradesh,Jhabua,308,316,10
01-05-2025,Madhya Pradesh,Khandwa,47,21,10
01-05-2025,Madhya Pradesh,Khargone,304,131,13
01-05-2025,Madhya Pradesh,Morena,709,313,44
01-05-2025,Madhya Pradesh,Panna,140,71,13
01-05-2025,Madhya Pradesh,Vidisha,209,43,15
01-05-2025,Maharashtra,Beed,366,63,15
01-05-2025,Maharashtra,Dhule,118,46,18
01-05-2025,Maharashtra,Hingoli,246,31,34
01-05-2025,Maharashtra,Jalgaon,506,92,43
01-05-2025,Maharashtra,Mumbai Suburban,882,457,230
01-05-2025,Maharashtra,Nagpur,243,28,22
01-05-2025,Maharashtra,Nanded,383,80,39
01-05-2025,Maharashtra,Nandurbar,251,134,21
01-05-2025,Maharashtra,Nashik,97,14,45
01-05-2025,Maharashtra,Palghar,162,155,14
01-05-2025,Maharashtra,Parbhani,425,90,32
01-05-2025,Maharashtra,Pune,328,97,61
01-05-2025,Maharashtra,Sangli,160,45,20
01-05-2025,Maharashtra,Satara,150,32,10
01-05-2025,Maharashtra,Solapur,473,97,51
01-05-2025,Maharashtra,Thane,1437,799,96
01-05-2025,Maharashtra,Washim,198,20,10
01-05-2025,Maharashtra,Yavatmal,281,72,30
01-05-2025,Manipur,Bishnupur,76,79,30
01-05-2025,Manipur,Imphal West,44,37,25
01-05-2025,Meghalaya,East Garo Hills,180,448,267
01-05-2025,Meghalaya,East Jaintia Hills,125,248,256
01-05-2025,Meghalaya,East Khasi Hills,768,2259,1867
01-05-2025,Meghalaya,North Garo Hills,65,168,91
01-05-2025,Meghalaya,Ri Bhoi,243,733,633
01-05-2025,Meghalaya,South Garo Hills,105,388,192
01-05-2025,Meghalaya,South West Garo Hills,392,240,167
01-05-2025,Meghalaya,South West Khasi Hills,135,192,200
01-05-2025,Meghalaya,West Garo Hills,683,994,708
01-05-2025,Meghalaya,West Jaintia Hills,558,909,734
01-05-2025,Meghalaya,West Khasi Hills,406,1103,923
01-05-2025,Mizoram,Lawngtlai,280,62,29
01-05-2025,Mizoram,Lunglei,136,31,16
01-05-2025,Mizoram,Saiha,59,61,63
01-05-2025,Nagaland,Dimapur,155,207,22
01-05-2025,Nagaland,Peren,148,119,15
01-05-2025,Punjab,Amritsar,664,284,26
01-05-2025,Punjab,Gurdaspur,114,20,13
01-05-2025,Punjab,Hoshiarpur,197,48,18
01-05-2025,Punjab,Kapurthala,233,67,96
01-05-2025,Punjab,Ludhiana,876,458,49
01-05-2025,Punjab,Patiala,456,125,23
01-05-2025,Rajasthan,Alwar,610,179,10
01-05-2025,Rajasthan,Bikaner,421,164,20
01-05-2025,Rajasthan,Jaipur,120,70,10
01-05-2025,Rajasthan,Jodhpur,595,190,15
01-05-2025,Rajasthan,Sirohi,246,301,10
01-05-2025,Tamil Nadu,Coimbatore,59,19,11
01-05-2025,Tamil Nadu,Cuddalore,120,11,10
01-05-2025,Tamil Nadu,Pudukkottai,143,34,13
01-05-2025,Telangana,Hyderabad,736,154,21
01-05-2025,Uttar Pradesh,Agra,1550,967,60
01-05-2025,Uttar Pradesh,Aligarh,1564,1159,103
01-05-2025,Uttar Pradesh,Bahraich,1485,1891,193
01-05-2025,Uttar Pradesh,Banda,730,804,70
01-05-2025,Uttar Pradesh,Bareilly,1306,574,49
01-05-2025,Uttar Pradesh,Bijnor,1351,432,39
01-05-2025,Uttar Pradesh,Budaun,222,228,11
01-05-2025,Uttar Pradesh,Chandauli,214,191,14
01-05-2025,Uttar Pradesh,Deoria,384,503,20
01-05-2025,Uttar Pradesh,Etah,1092,457,48
01-05-2025,Uttar Pradesh,Fatehpur,274,224,11
01-05-2025,Uttar Pradesh,Gautam Buddha Nagar,867,915,52
01-05-2025,Uttar Pradesh,Ghaziabad,882,747,37
01-05-2025,Uttar Pradesh,Gorakhpur,129,352,41
01-05-2025,Uttar Pradesh,Hapur,681,450,11
01-05-2025,Uttar Pradesh,Hathras,478,319,11
01-05-2025,Uttar Pradesh,Kanpur Nagar,835,854,57
01-05-2025,Uttar Pradesh,Kheri,832,687,33
01-05-2025,Uttar Pradesh,Kushinagar,170,229,10
01-05-2025,Uttar Pradesh,Lalitpur,138,71,10
01-05-2025,Uttar Pradesh,Lucknow,608,560,48
01-05-2025,Uttar Pradesh,Maharajganj,500,791,40
01-05-2025,Uttar Pradesh,Meerut,1663,1146,38
01-05-2025,Uttar Pradesh,Moradabad,1673,793,79
01-05-2025,Uttar Pradesh,Pilibhit,1367,640,21
01-05-2025,Uttar Pradesh,Prayagraj,23,45,19
01-05-2025,Uttar Pradesh,Rampur,1304,700,27
01-05-2025,Uttar Pradesh,Shahjahanpur,1274,987,51
01-05-2025,Uttar Pradesh,Shrawasti,279,445,28
01-05-2025,Uttar Pradesh,Siddharthnagar,603,1073,47
01-05-2025,Uttar Pradesh,Sitapur,802,540,31
01-05-2025,Uttar Pradesh,Sultanpur,209,205,10
01-05-2025,Uttar Pradesh,Unnao,865,726,37
01-05-2025,Uttar Pradesh,Varanasi,574,849,23
01-05-2025,Uttarakhand,Dehradun,477,135,12
01-05-2025,West Bengal,Alipurduar,42,112,43
01-05-2025,West Bengal,Birbhum,204,61,13
01-05-2025,West Bengal,Cooch Behar,991,606,77
01-05-2025,West Bengal,Dakshin Dinajpur,179,42,14
01-05-2025,West Bengal,Darjeeling,297,223,78
01-05-2025,West Bengal,Jalpaiguri,493,413,74
01-05-2025,West Bengal,Kalimpong,12,39,27
01-05-2025,West Bengal,Kolkata,247,222,34
01-05-2025,West Bengal,Nadia,478,108,50
01-05-2025,West Bengal,North 24 Parganas,494,195,37
01-05-2025,West Bengal,Uttar Dinajpur,2101,1479,97
01-06-2025,Andhra Pradesh,Spsr Nellore,742,405,201
01-06-2025,Andhra Pradesh,Visakhapatanam,186,28,12
01-06-2025,Assam,Baksa,28,12,12
01-06-2025,Assam,Barpeta,699,376,104
01-06-2025,Assam,Bongaigaon,33,14,14
01-06-2025,Assam,Cachar,847,584,201
01-06-2025,Assam,Darrang,63,25,10
01-06-2025,Assam,Dhemaji,135,126,55
01-06-2025,Assam,Dhubri,323,198,24
01-06-2025,Assam,Dibrugarh,413,127,134
01-06-2025,Assam,Dima Hasao,33,28,10
01-06-2025,Assam,Goalpara,17,43,20
01-06-2025,Assam,Golaghat,561,502,202
01-06-2025,Assam,Hojai,277,76,11
01-06-2025,Assam,Jorhat,24,19,13
01-06-2025,Assam,Kamrup,133,51,23
01-06-2025,Assam,Kamrup Metro,55,54,65
01-06-2025,Assam,Karimganj,253,277,97
01-06-2025,Assam,Kokrajhar,155,115,17
01-06-2025,Assam,Lakhimpur,207,181,63
01-06-2025,Assam,Marigaon,412,250,118
01-06-2025,Assam,Nagaon,24,67,65
01-06-2025,Assam,Sivasagar,37,33,10
01-06-2025,Assam,Sonitpur,97,110,77
01-06-2025,Assam,West Karbi Anglong,52,133,110
01-06-2025,Bihar,Araria,850,787,39
01-06-2025,Bihar,Banka,397,542,36
01-06-2025,Bihar,Bhagalpur,1407,2293,150
01-06-2025,Bihar,Darbhanga,255,183,10
01-06-2025,Bihar,Gaya,515,1341,37
01-06-2025,Bihar,Gopalganj,577,1145,51
01-06-2025,Bihar,Jamui,323,426,23
01-06-2025,Bihar,Kaimur (Bhabua),165,536,10
01-06-2025,Bihar,Katihar,488,463,34
01-06-2025,Bihar,Lakhisarai,298,478,10
01-06-2025,Bihar,Madhubani,876,1379,170
01-06-2025,Bihar,Munger,117,279,10
01-06-2025,Bihar,Muzaffarpur,1562,2080,140
01-06-2025,Bihar,Nalanda,307,1153,37
01-06-2025,Bihar,Pashchim Champaran,1969,4299,239
01-06-2025,Bihar,Patna,320,1009,38
01-06-2025,Bihar,Purbi Champaran,1549,4314,335
01-06-2025,Bihar,Purnia,620,741,57
01-06-2025,Bihar,Saharsa,319,487,20
01-06-2025,Bihar,Saran,222,864,25
01-06-2025,Bihar,Sitamarhi,2839,3126,511
01-06-2025,Bihar,Siwan,185,298,21
01-06-2025,Chhattisgarh,Bijapur,205,254,173
01-06-2025,Chhattisgarh,Gaurella Pendra Marwahi,403,185,43
01-06-2025,Delhi,Central Delhi,134,49,11
01-06-2025,Delhi,East Delhi,660,299,26
01-06-2025,Delhi,New Delhi,212,100,51
01-06-2025,Delhi,North Delhi,332,244,22
01-06-2025,Delhi,North East Delhi,998,569,10
01-06-2025,Delhi,North West Delhi,588,184,26
01-06-2025,Delhi,South Delhi,619,249,43
01-06-2025,Delhi,South West Delhi,202,90,29
01-06-2025,Delhi,West Delhi,1582,587,245
01-06-2025,Gujarat,Ahmadabad,685,480,60
01-06-2025,Gujarat,Anand,148,57,24
01-06-2025,Gujarat,Banas Kantha,1459,1675,156
01-06-2025,Gujarat,Bhavnagar,189,39,11
01-06-2025,Gujarat,Botad,289,64,11
01-06-2025,Gujarat,Chhotaudepur,97,34,10
01-06-2025,Gujarat,Dang,222,72,70
01-06-2025,Gujarat,Dohad,1162,1835,191
