date,state,district,bio_age_5_17,bio_age_17_plus
01-03-2025,Andhra Pradesh,West Godavari,15662,9674
01-03-2025,Andhra Pradesh,Y. S. R,259,301
01-03-2025,Arunachal Pradesh,Anjaw,55,79
01-03-2025,Arunachal Pradesh,Changlang,483,339
01-03-2025,Arunachal Pradesh,Dibang Valley,15,41
01-03-2025,Arunachal Pradesh,East Kameng,189,244
01-03-2025,Arunachal Pradesh,East Siang,134,131
01-03-2025,Arunachal Pradesh,Kra Daadi,75,122
01-03-2025,Arunachal Pradesh,Kurung Kumey,93,536
01-03-2025,Arunachal Pradesh,Lohit,100,364
01-03-2025,Arunachal Pradesh,Longding,133,129
01-03-2025,Arunachal Pradesh,Lower Dibang Valley,80,117
01-03-2025,Arunachal Pradesh,Lower Siang,26,12
01-03-2025,Arunachal Pradesh,Lower Subansiri,81,128
01-03-2025,Arunachal Pradesh,Namsai,213,274
01-03-2025,Arunachal Pradesh,Pakke Kessang,12,6
01-03-2025,Arunachal Pradesh,Papum Pare,345,717
01-03-2025,Arunachal Pradesh,Shi-yomi,14,12
01-03-2025,Arunachal Pradesh,Siang,54,63
01-03-2025,Arunachal Pradesh,Tawang,120,78
01-03-2025,Arunachal Pradesh,Tirap,61,41
01-03-2025,Arunachal Pradesh,Upper Siang,53,72
01-03-2025,Arunachal Pradesh,Upper Subansiri,217,342
01-03-2025,Arunachal Pradesh,West Kameng,188,425
01-03-2025,Arunachal Pradesh,West Siang,212,175
01-03-2025,Assam,Baksa,1333,527
01-03-2025,Assam,Barpeta,8751,2053
01-03-2025,Assam,Biswanath,524,317
01-03-2025,Assam,Bongaigaon,3011,1170
01-03-2025,Assam,Cachar,1988,2199
01-03-2025,Assam,Charaideo,415,202
01-03-2025,Assam,Chirang,1611,679
01-03-2025,Assam,Darrang,663,942
01-03-2025,Assam,Dhemaji,1622,834
01-03-2025,Assam,Dhubri,6765,1655
01-03-2025,Assam,Dibrugarh,1444,2315
01-03-2025,Assam,Goalpara,715,734
01-03-2025,Assam,Golaghat,704,704
01-03-2025,Assam,Hailakandi,355,439
01-03-2025,Assam,Hojai,1585,1239
01-03-2025,Assam,Jorhat,867,571
01-03-2025,Assam,Kamrup,2602,1197
01-03-2025,Assam,Kamrup Metro,1936,1525
01-03-2025,Assam,Karbi Anglong,1984,1047
01-03-2025,Assam,Karimganj,963,859
01-03-2025,Assam,Kokrajhar,3407,873
01-03-2025,Assam,Lakhimpur,1470,1353
01-03-2025,Assam,Majuli,343,101
01-03-2025,Assam,Marigaon,2305,1218
01-03-2025,Assam,Nagaon,3208,5081
01-03-2025,Assam,Nalbari,2028,335
01-03-2025,Assam,North Cachar Hills,79,104
01-03-2025,Assam,Sibsagar,801,310
01-03-2025,Assam,Sonitpur,1830,1158
01-03-2025,Assam,South Salmara Mankachar,249,133
01-03-2025,Assam,Tinsukia,1135,846
01-03-2025,Assam,Udalguri,2332,951
01-03-2025,Assam,West Karbi Anglong,76,159
01-03-2025,Bihar,Araria,13043,13990
01-03-2025,Bihar,Arwal,1438,3294
01-03-2025,Bihar,Aurangabad,6082,7741
01-03-2025,Bihar,Banka,6904,7892
01-03-2025,Bihar,Begusarai,13077,12307
01-03-2025,Bihar,Bhagalpur,13344,11954
01-03-2025,Bihar,Bhojpur,5124,12146
01-03-2025,Bihar,Buxar,3200,5001
01-03-2025,Bihar,Darbhanga,13331,17721
01-03-2025,Bihar,East Champaran,13825,20084
01-03-2025,Bihar,Gaya,16486,21241
01-03-2025,Bihar,Gopalganj,6451,7603
01-03-2025,Bihar,Jamui,6531,6134
01-03-2025,Bihar,Jehanabad,2391,4017
01-03-2025,Bihar,Kaimur (Bhabua),6479,7450
01-03-2025,Bihar,Katihar,16676,16958
01-03-2025,Bihar,Khagaria,6128,6877
01-03-2025,Bihar,Kishanganj,7612,8682
01-03-2025,Bihar,Lakhisarai,3715,3972
01-03-2025,Bihar,Madhepura,6355,11462
01-03-2025,Bihar,Madhubani,16996,20887
01-03-2025,Bihar,Munger,3099,4705
01-03-2025,Bihar,Muzaffarpur,13651,18161
01-03-2025,Bihar,Nalanda,6154,11926
01-03-2025,Bihar,Nawada,6780,9577
01-03-2025,Bihar,Patna,11916,18174
01-03-2025,Bihar,Purnea,112,435
01-03-2025,Bihar,Purnia,13497,17552
01-03-2025,Bihar,Rohtas,7472,9366
01-03-2025,Bihar,Saharsa,6272,12430
01-03-2025,Bihar,Samastipur,13667,19484
01-03-2025,Bihar,Saran,7779,13089
01-03-2025,Bihar,Sheikhpura,1885,3455
01-03-2025,Bihar,Sheohar,1803,3248
01-03-2025,Bihar,Sitamarhi,11896,16604
01-03-2025,Bihar,Siwan,6752,10438
01-03-2025,Bihar,Supaul,6821,11721
01-03-2025,Bihar,Vaishali,9704,16175
01-03-2025,Bihar,West Champaran,9731,15377
01-03-2025,Chandigarh,Chandigarh,3053,3377
01-03-2025,Chhattisgarh,Balod,982,4832
01-03-2025,Chhattisgarh,Baloda Bazar,1619,5092
01-03-2025,Chhattisgarh,Balrampur,522,1411
01-03-2025,Chhattisgarh,Bastar,990,4272
01-03-2025,Chhattisgarh,Bemetara,1030,7139
01-03-2025,Chhattisgarh,Bijapur,1452,1742
01-03-2025,Chhattisgarh,Bilaspur,2414,9589
01-03-2025,Chhattisgarh,Dakshin Bastar Dantewada,439,1084
01-03-2025,Chhattisgarh,Dantewada,189,525
01-03-2025,Chhattisgarh,Dhamtari,748,5784
01-03-2025,Chhattisgarh,Durg,2548,10749
01-03-2025,Chhattisgarh,Gariyaband,471,1694
01-03-2025,Chhattisgarh,Gaurela-pendra-marwahi,11,105
01-03-2025,Chhattisgarh,Janjgir-champa,2728,10158
01-03-2025,Chhattisgarh,Jashpur,823,3469
01-03-2025,Chhattisgarh,Kabeerdham,407,1250
01-03-2025,Chhattisgarh,Kanker,547,2455
01-03-2025,Chhattisgarh,Kawardha,712,3363
01-03-2025,Chhattisgarh,Kondagaon,472,2224
01-03-2025,Chhattisgarh,Korba,5729,6814
01-03-2025,Chhattisgarh,Koriya,860,3347
01-03-2025,Chhattisgarh,Mahasamund,1257,5727
01-03-2025,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,22,123
01-03-2025,Chhattisgarh,Mungeli,936,2497
01-03-2025,Chhattisgarh,Narayanpur,504,1544
01-03-2025,Chhattisgarh,Raigarh,2241,7408
01-03-2025,Chhattisgarh,Raipur,2737,9682
01-03-2025,Chhattisgarh,Rajnandgaon,1554,9521
01-03-2025,Chhattisgarh,Sakti,10,49
01-03-2025,Chhattisgarh,Sukma,398,1033
01-03-2025,Chhattisgarh,Surajpur,741,4336
01-03-2025,Chhattisgarh,Surguja,981,3883
01-03-2025,Chhattisgarh,Uttar Bastar Kanker,181,1236
01-03-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,13,126
01-03-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,932,2268
01-03-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,99,287
01-03-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,20,53
01-03-2025,Daman & Diu,Daman,73,231
01-03-2025,Daman & Diu,Diu,15,48
01-03-2025,Daman and Diu,Daman,329,237
01-03-2025,Daman and Diu,Diu,234,122
01-03-2025,Delhi,Central Delhi,2299,3805
01-03-2025,Delhi,East Delhi,4902,8233
01-03-2025,Delhi,Najafgarh,12,183
01-03-2025,Delhi,New Delhi,392,294
01-03-2025,Delhi,North Delhi,2600,4493
01-03-2025,Delhi,North East,238,4421
01-03-2025,Delhi,North East Delhi,7096,6613
01-03-2025,Delhi,North West Delhi,15709,29195
01-03-2025,Delhi,Shahdara,252,658
01-03-2025,Delhi,South Delhi,11377,16784
01-03-2025,Delhi,South East Delhi,19,40
01-03-2025,Delhi,South West Delhi,8641,11833
01-03-2025,Delhi,West Delhi,8635,15644
01-03-2025,Goa,North Goa,1883,2559
01-03-2025,Goa,South Goa,2154,2387
01-03-2025,Gujarat,Ahmadabad,41,733
01-03-2025,Gujarat,Ahmedabad,19111,29284
01-03-2025,Gujarat,Amreli,3463,3849
01-03-2025,Gujarat,Anand,5698,8373
01-03-2025,Gujarat,Arvalli,1595,1109
01-03-2025,Gujarat,Banaskantha,8364,10340
01-03-2025,Gujarat,Bharuch,4757,5176
01-03-2025,Gujarat,Bhavnagar,7812,10258
01-03-2025,Gujarat,Botad,1347,831
01-03-2025,Gujarat,Chhotaudepur,1551,1799
01-03-2025,Gujarat,Dahod,6531,7658
01-03-2025,Gujarat,Devbhumi Dwarka,1829,932
01-03-2025,Gujarat,Dohad,192,1688
01-03-2025,Gujarat,Gandhinagar,4273,5905
01-03-2025,Gujarat,Gir Somnath,2574,1707
01-03-2025,Gujarat,Jamnagar,4794,5215
01-03-2025,Gujarat,Junagadh,3500,8433
01-03-2025,Gujarat,Kachchh,9380,6902
01-03-2025,Gujarat,Kheda,6929,10058
01-03-2025,Gujarat,Mahesana,5066,7773
01-03-2025,Gujarat,Mahisagar,1999,1808
01-03-2025,Gujarat,Morbi,2220,1289
01-03-2025,Gujarat,Narmada,2020,4588
01-03-2025,Gujarat,Navsari,2369,2679
01-03-2025,Gujarat,Panchmahals,3743,9258
01-03-2025,Gujarat,Patan,3086,4716
01-03-2025,Gujarat,Porbandar,1770,2266
01-03-2025,Gujarat,Rajkot,9086,10727
01-03-2025,Gujarat,Sabarkantha,4116,6512
01-03-2025,Gujarat,Surat,15243,18852
01-03-2025,Gujarat,Surendra Nagar,7191,7521
01-03-2025,Gujarat,Tapi,1872,3805
01-03-2025,Gujarat,The Dangs,1614,2487
01-03-2025,Gujarat,Vadodara,7894,17180
01-03-2025,Gujarat,Valsad,4860,6790
01-03-2025,Haryana,Ambala,2853,6773
01-03-2025,Haryana,Bhiwani,4091,8113
01-03-2025,Haryana,Charkhi Dadri,238,857
01-03-2025,Haryana,Faridabad,5798,8083
01-03-2025,Haryana,Fatehabad,3580,6150
01-03-2025,Haryana,Gurgaon,3789,4611
01-03-2025,Haryana,Hisar,4202,7560
01-03-2025,Haryana,Jhajjar,2471,3813
01-03-2025,Haryana,Jind,3562,7112
01-03-2025,Haryana,Kaithal,3091,6501
01-03-2025,Haryana,Karnal,3424,8201
01-03-2025,Haryana,Kurukshetra,2920,6507
01-03-2025,Haryana,Mahendragarh,1721,3292
01-03-2025,Haryana,Mewat,2592,2905
01-03-2025,Haryana,Palwal,2662,3033
01-03-2025,Haryana,Panchkula,1692,2763
01-03-2025,Haryana,Panipat,3293,6275
01-03-2025,Haryana,Rewari,2125,3098
01-03-2025,Haryana,Rohtak,2767,7186
01-03-2025,Haryana,Sirsa,4013,7036
01-03-2025,Haryana,Sonipat,3831,6795
01-03-2025,Haryana,Yamuna Nagar,3318,6573
01-03-2025,Haryana,Yamunanagar,14,90
01-03-2025,Himachal Pradesh,Bilaspur,1055,1907
01-03-2025,Himachal Pradesh,Chamba,1764,3313
01-03-2025,Himachal Pradesh,Hamirpur,1325,2008
01-03-2025,Himachal Pradesh,Kangra,5235,7358
01-03-2025,Himachal Pradesh,Kinnaur,145,250
01-03-2025,Himachal Pradesh,Kullu,1231,1459
01-03-2025,Himachal Pradesh,Mandi,3777,4936
01-03-2025,Himachal Pradesh,Shimla,2185,2872
01-03-2025,Himachal Pradesh,Sirmaur,2804,3382
01-03-2025,Himachal Pradesh,Solan,1705,2383
01-03-2025,Himachal Pradesh,Una,1841,2517
01-03-2025,Jammu and Kashmir,Anantnag,2053,3228
01-03-2025,Jammu and Kashmir,Badgam,439,1593
01-03-2025,Jammu and Kashmir,Bandipore,866,1736
01-03-2025,Jammu and Kashmir,Baramula,2703,5195
01-03-2025,Jammu and Kashmir,Budgam,1447,949
01-03-2025,Jammu and Kashmir,Doda,1793,2846
01-03-2025,Jammu and Kashmir,Ganderbal,668,1163
01-03-2025,Jammu and Kashmir,Jammu,3883,7915
01-03-2025,Jammu and Kashmir,Kargil,204,165
01-03-2025,Jammu and Kashmir,Kathua,1736,2985
01-03-2025,Jammu and Kashmir,Kishtwar,1049,1570
01-03-2025,Jammu and Kashmir,Kulgam,1420,2071
01-03-2025,Jammu and Kashmir,Kupwara,1999,3376
01-03-2025,Jammu and Kashmir,Leh,203,152
01-03-2025,Jammu and Kashmir,Pulwama,885,1881
01-03-2025,Jammu and Kashmir,Punch,2451,4790
01-03-2025,Jammu and Kashmir,Rajouri,2947,5630
01-03-2025,Jammu and Kashmir,Ramban,1146,1352
01-03-2025,Jammu and Kashmir,Reasi,1251,2395
01-03-2025,Jammu and Kashmir,Samba,529,825
01-03-2025,Jammu and Kashmir,Shupiyan,693,1169
01-03-2025,Jammu and Kashmir,Srinagar,1965,5087
01-03-2025,Jammu and Kashmir,Udhampur,3126,4770
01-03-2025,Jharkhand,Bokaro,3629,8264
01-03-2025,Jharkhand,Chatra,5091,7042
01-03-2025,Jharkhand,Deoghar,5230,5790
01-03-2025,Jharkhand,Dhanbad,7080,17070
01-03-2025,Jharkhand,Dumka,8376,6943
01-03-2025,Jharkhand,East Singhbhum,10278,11606
01-03-2025,Jharkhand,Garhwa,6945,10447
01-03-2025,Jharkhand,Garhwa *,77,822
01-03-2025,Jharkhand,Giridih,8203,10019
01-03-2025,Jharkhand,Godda,8171,6322
01-03-2025,Jharkhand,Gumla,3986,6975
01-03-2025,Jharkhand,Hazaribag,234,809
01-03-2025,Jharkhand,Hazaribagh,6244,5370
01-03-2025,Jharkhand,Jamtara,2625,3787
01-03-2025,Jharkhand,Khunti,2118,3257
01-03-2025,Jharkhand,Kodarma,224,599
01-03-2025,Jharkhand,Koderma,2935,3451
01-03-2025,Jharkhand,Latehar,4341,3293
01-03-2025,Jharkhand,Lohardaga,2355,4669
01-03-2025,Jharkhand,Pakaur,269,284
01-03-2025,Jharkhand,Pakur,4065,3049
01-03-2025,Jharkhand,Palamau,84,388
01-03-2025,Jharkhand,Palamu,9446,10392
01-03-2025,Jharkhand,Pashchimi Singhbhum,751,1529
01-03-2025,Jharkhand,Purbi Singhbhum,917,2737
01-03-2025,Jharkhand,Ramgarh,2636,2897
01-03-2025,Jharkhand,Ranchi,11510,23635
01-03-2025,Jharkhand,Sahebganj,6267,5248
01-03-2025,Jharkhand,Sahibganj,51,194
01-03-2025,Jharkhand,Seraikela-Kharsawan,4141,4263
01-03-2025,Jharkhand,Seraikela-kharsawan,600,1685
01-03-2025,Jharkhand,Simdega,2855,5188
01-03-2025,Jharkhand,West Singhbhum,11055,9473
01-03-2025,Karnataka,Bagalkot,5662,4800
01-03-2025,Karnataka,Bagalkot *,51,124
01-03-2025,Karnataka,Ballari,2984,1625
01-03-2025,Karnataka,Bangalore,4949,18641
01-03-2025,Karnataka,Bangalore Rural,1414,2087
01-03-2025,Karnataka,Belagavi,6453,3871
01-03-2025,Karnataka,Belgaum,6317,9227
01-03-2025,Karnataka,Bellary,3852,4871
01-03-2025,Karnataka,Bengaluru,14823,19747
01-03-2025,Karnataka,Bidar,3330,5333
01-03-2025,Karnataka,Bijapur,2876,4524
01-03-2025,Karnataka,Chamarajanagar,18,81
01-03-2025,Karnataka,Chamrajanagar,1057,1429
01-03-2025,Karnataka,Chamrajnagar,22,73
01-03-2025,Karnataka,Chickmagalur,600,2060
01-03-2025,Karnataka,Chikkaballapur,3015,2627
01-03-2025,Karnataka,Chikkamagaluru,827,880
01-03-2025,Karnataka,Chikmagalur,15,91
01-03-2025,Karnataka,Chitradurga,2547,4326
01-03-2025,Karnataka,Dakshina Kannada,2780,5479
01-03-2025,Karnataka,Davanagere,199,408
01-03-2025,Karnataka,Davangere,5081,6406
01-03-2025,Karnataka,Dharwad,6422,7178
01-03-2025,Karnataka,Gadag,3169,2227
01-03-2025,Karnataka,Gadag *,70,106
01-03-2025,Karnataka,Gulbarga,2358,5141
01-03-2025,Karnataka,Hasan,216,748
01-03-2025,Karnataka,Hassan,2862,2564
01-03-2025,Karnataka,Haveri,7079,3681
01-03-2025,Karnataka,Haveri *,83,114
01-03-2025,Karnataka,Kalaburagi,4847,3255
01-03-2025,Karnataka,Kodagu,677,1164
01-03-2025,Karnataka,Kolar,3153,4871
01-03-2025,Karnataka,Koppal,3016,3348
01-03-2025,Karnataka,Mandya,2412,4580
01-03-2025,Karnataka,Mysore,1431,4861
01-03-2025,Karnataka,Mysuru,2850,3420
01-03-2025,Karnataka,Raichur,4424,6106
01-03-2025,Karnataka,Ramanagar,1433,2586
01-03-2025,Karnataka,Shimoga,585,2034
01-03-2025,Karnataka,Shivamogga,1755,1463
01-03-2025,Karnataka,Tumakuru,2194,2246
01-03-2025,Karnataka,Tumkur,1797,5508
01-03-2025,Karnataka,Udupi,1579,1759
01-03-2025,Karnataka,Uttara Kannada,2057,2476
01-03-2025,Karnataka,Vijayanagara,854,1314
01-03-2025,Karnataka,Vijayapura,4798,2429
01-03-2025,Karnataka,Yadgir,3464,3419
01-03-2025,Karnataka,yadgir,81,283
01-03-2025,Kerala,Alappuzha,3226,6251
01-03-2025,Kerala,Ernakulam,5737,11380
01-03-2025,Kerala,Idukki,1958,3567
01-03-2025,Kerala,Kannur,4097,6968
01-03-2025,Kerala,Kasaragod,3272,3496
01-03-2025,Kerala,Kasargod,14,64
01-03-2025,Kerala,Kollam,4871,8548
01-03-2025,Kerala,Kottayam,2277,4982
01-03-2025,Kerala,Kozhikode,5544,7757
01-03-2025,Kerala,Malappuram,10776,12728
01-03-2025,Kerala,Palakkad,8738,11823
01-03-2025,Kerala,Pathanamthitta,1645,4606
01-03-2025,Kerala,Thiruvananthapuram,6652,11037
01-03-2025,Kerala,Thrissur,7177,9335
01-03-2025,Kerala,Wayanad,1262,2937
01-03-2025,Ladakh,Kargil,277,243
01-03-2025,Ladakh,Leh,181,255
01-03-2025,Lakshadweep,Lakshadweep,198,227
01-03-2025,Madhya Pradesh,Agar Malwa,619,1070
01-03-2025,Madhya Pradesh,Alirajpur,1527,3407
01-03-2025,Madhya Pradesh,Anuppur,2298,5334
01-03-2025,Madhya Pradesh,Ashok Nagar,4292,4547
01-03-2025,Madhya Pradesh,Balaghat,6402,8235
01-03-2025,Madhya Pradesh,Barwani,7982,9951
01-03-2025,Madhya Pradesh,Betul,3867,10755
01-03-2025,Madhya Pradesh,Bhind,4405,3388
01-03-2025,Madhya Pradesh,Bhopal,7463,9049
01-03-2025,Madhya Pradesh,Burhanpur,2197,3534
01-03-2025,Madhya Pradesh,Chhatarpur,9711,11673
01-03-2025,Madhya Pradesh,Chhindwara,3694,10171
01-03-2025,Madhya Pradesh,Damoh,7936,12055
01-03-2025,Madhya Pradesh,Datia,2230,2509
01-03-2025,Madhya Pradesh,Dewas,3249,6322
01-03-2025,Madhya Pradesh,Dhar,6968,9976
01-03-2025,Madhya Pradesh,Dindori,2267,4844
01-03-2025,Madhya Pradesh,East Nimar,886,3438
01-03-2025,Madhya Pradesh,Guna,8594,5775
01-03-2025,Madhya Pradesh,Gwalior,7276,7161
01-03-2025,Madhya Pradesh,Harda,2514,2489
01-03-2025,Madhya Pradesh,Harda *,193,933
01-03-2025,Madhya Pradesh,Hoshangabad,4135,6141
01-03-2025,Madhya Pradesh,Indore,11298,10515
01-03-2025,Madhya Pradesh,Jabalpur,6187,7925
01-03-2025,Madhya Pradesh,Jhabua,2387,6541
01-03-2025,Madhya Pradesh,Katni,3239,8903
01-03-2025,Madhya Pradesh,Khandwa,3295,2578
01-03-2025,Madhya Pradesh,Khargone,8855,11255
01-03-2025,Madhya Pradesh,Mandla,3181,4150
01-03-2025,Madhya Pradesh,Mandsaur,5021,6824
01-03-2025,Madhya Pradesh,Morena,13912,6993
01-03-2025,Madhya Pradesh,Narmadapuram,167,686
01-03-2025,Madhya Pradesh,Narsimhapur,135,552
01-03-2025,Madhya Pradesh,Narsinghpur,2155,2658
01-03-2025,Madhya Pradesh,Neemuch,2497,2092
01-03-2025,Madhya Pradesh,Niwari,158,132
01-03-2025,Madhya Pradesh,Panna,4877,8614
01-03-2025,Madhya Pradesh,Raisen,3285,5491
01-03-2025,Madhya Pradesh,Rajgarh,10071,14023
01-03-2025,Madhya Pradesh,Ratlam,4993,5623
01-03-2025,Madhya Pradesh,Rewa,13084,10964
01-03-2025,Madhya Pradesh,Sagar,10882,12949
01-03-2025,Madhya Pradesh,Satna,7162,11270
01-03-2025,Madhya Pradesh,Sehore,4438,8568
01-03-2025,Madhya Pradesh,Seoni,5711,5702
01-03-2025,Madhya Pradesh,Shahdol,3159,7894
01-03-2025,Madhya Pradesh,Shajapur,7862,8321
01-03-2025,Madhya Pradesh,Sheopur,3043,3816
01-03-2025,Madhya Pradesh,Shivpuri,9627,7104
01-03-2025,Madhya Pradesh,Sidhi,12873,7426
01-03-2025,Madhya Pradesh,Singrauli,9011,6282
01-03-2025,Madhya Pradesh,Tikamgarh,9269,13144
01-03-2025,Madhya Pradesh,Ujjain,5583,6762
01-03-2025,Madhya Pradesh,Umaria,1403,3187
01-03-2025,Madhya Pradesh,Vidisha,5177,5933
01-03-2025,Madhya Pradesh,West Nimar,259,763
01-03-2025,Maharashtra,Ahmadnagar,8342,22641
01-03-2025,Maharashtra,Ahmed Nagar,15,170
01-03-2025,Maharashtra,Akola,5799,19830
01-03-2025,Maharashtra,Amravati,9464,30849
01-03-2025,Maharashtra,Aurangabad,11805,21622
01-03-2025,Maharashtra,Beed,8159,16280
01-03-2025,Maharashtra,Bhandara,2521,8744
01-03-2025,Maharashtra,Bid,10,417
01-03-2025,Maharashtra,Buldana,127,3139
01-03-2025,Maharashtra,Buldhana,6763,13362
01-03-2025,Maharashtra,Chandrapur,7293,17284
01-03-2025,Maharashtra,Chatrapati Sambhaji Nagar,41,246
01-03-2025,Maharashtra,Chhatrapati Sambhajinagar,31,156
01-03-2025,Maharashtra,Dhule,5157,14043
01-03-2025,Maharashtra,Gadchiroli,2665,9929
01-03-2025,Maharashtra,Gondiya,4074,7263
01-03-2025,Maharashtra,Hingoli,2200,5880
01-03-2025,Maharashtra,Jalgaon,11108,29512
01-03-2025,Maharashtra,Jalna,5388,11402
01-03-2025,Maharashtra,Kolhapur,9588,18096
01-03-2025,Maharashtra,Latur,9558,19388
01-03-2025,Maharashtra,Mumbai,7636,31432
01-03-2025,Maharashtra,Mumbai City,1936,2517
01-03-2025,Maharashtra,Mumbai Suburban,7347,9473
01-03-2025,Maharashtra,Nagpur,11511,30242
01-03-2025,Maharashtra,Nanded,14793,23918
01-03-2025,Maharashtra,Nandurbar,5201,12240
01-03-2025,Maharashtra,Nashik,19311,43604
01-03-2025,Maharashtra,Osmanabad,7315,10669
01-03-2025,Maharashtra,Palghar,7288,7628
01-03-2025,Maharashtra,Parbhani,9812,10952
01-03-2025,Maharashtra,Pune,23546,42545
01-03-2025,Maharashtra,Raigad,254,1097
01-03-2025,Maharashtra,Raigarh,6311,8981
01-03-2025,Maharashtra,Ratnagiri,3235,8969
01-03-2025,Maharashtra,Sangli,9383,16901
01-03-2025,Maharashtra,Satara,8173,14177
01-03-2025,Maharashtra,Sindhudurg,1903,3624
01-03-2025,Maharashtra,Solapur,13276,22111
01-03-2025,Maharashtra,Thane,13203,38556
01-03-2025,Maharashtra,Wardha,4565,10487
01-03-2025,Maharashtra,Washim,4056,10181
01-03-2025,Maharashtra,Yavatmal,10207,28222
01-03-2025,Manipur,Bishnupur,524,607
01-03-2025,Manipur,Chandel,249,895
01-03-2025,Manipur,Churachandpur,796,866
01-03-2025,Manipur,Imphal East,1000,1623
01-03-2025,Manipur,Imphal West,906,1352
01-03-2025,Manipur,Jiribam,20,229
01-03-2025,Manipur,Kakching,49,30
01-03-2025,Manipur,Senapati,722,1183
01-03-2025,Manipur,Tamenglong,180,364
01-03-2025,Manipur,Thoubal,1039,1297
01-03-2025,Manipur,Ukhrul,376,1359
01-03-2025,Meghalaya,East Garo Hills,75,363
01-03-2025,Meghalaya,East Jaintia Hills,136,90
01-03-2025,Meghalaya,East Khasi Hills,840,1744
01-03-2025,Meghalaya,North Garo Hills,79,75
01-03-2025,Meghalaya,Ri Bhoi,213,213
01-03-2025,Meghalaya,South Garo Hills,44,92
01-03-2025,Meghalaya,South West Garo Hills,159,623
01-03-2025,Meghalaya,South West Khasi Hills,168,434
01-03-2025,Meghalaya,West Garo Hills,917,3902
01-03-2025,Meghalaya,West Jaintia Hills,596,335
01-03-2025,Meghalaya,West Khasi Hills,327,392
01-03-2025,Mizoram,Aizawl,12080,3703
01-03-2025,Mizoram,Champhai,6324,1528
01-03-2025,Mizoram,Kolasib,3984,962
01-03-2025,Mizoram,Lawngtlai,3058,915
01-03-2025,Mizoram,Lunglei,4383,1393
01-03-2025,Mizoram,Mamit,4019,633
01-03-2025,Mizoram,Mammit,903,417
01-03-2025,Mizoram,Saiha,2273,344
01-03-2025,Mizoram,Saitual,11,16
01-03-2025,Mizoram,Serchhip,3036,1087
01-03-2025,Nagaland,Dimapur,1135,2360
01-03-2025,Nagaland,Kiphire,173,388
01-03-2025,Nagaland,Kohima,298,1799
01-03-2025,Nagaland,Longleng,98,398
01-03-2025,Nagaland,Mokokchung,161,533
